meic_det1_magnet_ele_downstream_dipole7_back  |meic_det1_magnet_ele_downstream_dipole7_inner  |meic_det1_magnet_ele_downstream_dipole7_back  |                           0*m 0*m -0.7499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22172 
meic_det1_magnet_ele_downstream_dipole8_back  |meic_det1_magnet_ele_downstream_dipole8_inner  |meic_det1_magnet_ele_downstream_dipole8_back  |                           0*m 0*m -0.7499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                 Box  |                                           4*cm 4*cm 1e-10*m  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22182 
meic_det1_magnet_ele_upstream_quadrupole1_outer  |                root  |meic_det1_magnet_ele_upstream_quadrupole1_outer  |                                   0.*m 0*m 3.25*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 3*cm 0.25*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_upstream_quadrupole2_outer  |                root  |meic_det1_magnet_ele_upstream_quadrupole2_outer  |                                   0.*m 0*m 4.00*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 3*cm 0.25*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_upstream_quadrupole3_outer  |                root  |meic_det1_magnet_ele_upstream_quadrupole3_outer  |                                   0.*m 0*m 4.75*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 3*cm 0.25*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_upstream_quadrupole4_outer  |                root  |meic_det1_magnet_ele_upstream_quadrupole4_outer  |                                   0.*m 0*m 6.25*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 5*cm 0.25*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_upstream_quadrupole5_outer  |                root  |meic_det1_magnet_ele_upstream_quadrupole5_outer  |                                   0.*m 0*m 6.85*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 5*cm 0.15*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_quadrupole1_outer  |                root  |meic_det1_magnet_ele_downstream_quadrupole1_outer  |                                  0.*m 0*m -1.65*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 6*cm 0.15*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_quadrupole2_outer  |                root  |meic_det1_magnet_ele_downstream_quadrupole2_outer  |                                  0.*m 0*m -2.50*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                              0*cm 9*cm 0.15*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_magnet_ele_downstream_quadrupole3_outer  |                root  |meic_det1_magnet_ele_downstream_quadrupole3_outer  |                                  0.*m 0*m -3.40*m  |                      0*rad -0*rad 0*rad  | 0000FF   |                Tube  |                               0*cm 9*cm 0.2*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
