  busCable2_s13_r2 | sector13_r2|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCableCu_m2_s13_r2 | busCable2_s13_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCablePk_m2_s13_r2 | busCable2_s13_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
pitchAdaptor2_s13_r2 | sector13_r2|   0.0000*cm   0.0000*cm   6.1430*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
       sector14_r2 |  region2|   4.0372*cm  -8.3832*cm   0.0000*cm| ordered: zyx  334.2857*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0320*cm      0.0000*cm | 
   heatSink_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm  -0.5600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
 heatSinkCu_s14_r2 | heatSink_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
heatSinkRidge_s14_r2 | heatSink_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
   rohacell_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm   5.9730*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
    module1_s14_r2 | sector14_r2|   0.0000*cm   0.0160*cm  22.9680*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm     16.7550*cm | 
sensorPhysical1_m1_s14_r2 | module1_s14_r2|   0.0000*cm   0.0000*cm -11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s14_r2 | module1_s14_r2|   0.0000*cm   0.0000*cm  -0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s14_r2 | module1_s14_r2|   0.0000*cm   0.0000*cm  11.1737*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
carbonFiber1_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
carbonFiberCu_m1_s14_r2 | carbonFiber1_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
carbonFiberPk_m1_s14_r2 | carbonFiber1_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
  busCable1_s14_r2 | sector14_r2|   0.0000*cm   0.0000*cm  -0.4600*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCableCu_m1_s14_r2 | busCable1_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
busCablePk_m1_s14_r2 | busCable1_s14_r2|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
