      e_det_strip_47  |                root  |Compton Electron Detector Strip 47  |                    -0.0308698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 47 
      e_det_strip_48  |                root  |Compton Electron Detector Strip 48  |                    -0.0306198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 48 
      e_det_strip_49  |                root  |Compton Electron Detector Strip 49  |                    -0.0303698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 49 
      e_det_strip_50  |                root  |Compton Electron Detector Strip 50  |                    -0.0301198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 50 
      e_det_strip_51  |                root  |Compton Electron Detector Strip 51  |                    -0.0298698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 51 
      e_det_strip_52  |                root  |Compton Electron Detector Strip 52  |                    -0.0296198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 52 
      e_det_strip_53  |                root  |Compton Electron Detector Strip 53  |                    -0.0293698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 53 
      e_det_strip_54  |                root  |Compton Electron Detector Strip 54  |                    -0.0291198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 54 
      e_det_strip_55  |                root  |Compton Electron Detector Strip 55  |                    -0.0288698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 55 
      e_det_strip_56  |                root  |Compton Electron Detector Strip 56  |                    -0.0286198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 56 
