rg2_s1_c1_capa_sharing_layer1_glue  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer1 glue  |                              0*cm 0*cm 0.17465*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_capa_sharing_layer1_Cr  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer1 Cr  |                               0*cm 0*cm 0.1774*cm  |                                   0 0 0  | 1433ce   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |                  Cr  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_capa_sharing_layer1_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer1 kapton  |                              0*cm 0*cm 0.18015*cm  |                                   0 0 0  | bf0000   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_capa_sharing_layer2_glue  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer2 glue  |                              0*cm 0*cm 0.18065*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_capa_sharing_layer2_Cr  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer2 Cr  |                               0*cm 0*cm 0.1834*cm  |                                   0 0 0  | 1433ce   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |                  Cr  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_capa_sharing_layer2_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, capa_sharing_layer2 kapton  |                              0*cm 0*cm 0.18615*cm  |                                   0 0 0  | bf0000   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_readout1_glue  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, readout1 glue  |                               0*cm 0*cm 0.1889*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_readout1_Cu  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, readout1 Cu  |                              0*cm 0*cm 0.19165*cm  |                                   0 0 0  | fd7f00   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_readout1_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, readout1 kapton  |                               0*cm 0*cm 0.1944*cm  |                                   0 0 0  | bf0000   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_readout2_glue  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, readout2 glue  |                               0*cm 0*cm 0.1994*cm  |                                   0 0 0  | 14ce3d   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |                glue  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
