det1_tof_modular_eleside_box_XpYp_2_4  |                root  |det1_tof_modular_eleside_box_XpYp_2_4  |      351.5625*mm 632.8125*mm -2374.11116180219*mm  |-14.7711009385092*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_5  |                root  |det1_tof_modular_eleside_box_XpYp_2_5  |      351.5625*mm 773.4375*mm -2374.11116180219*mm  |-17.8623469274365*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_4  |                root  |det1_tof_modular_eleside_box_XpYp_3_4  |      492.1875*mm 632.8125*mm -2348.98945609463*mm  |-14.7711009385092*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_5  |                root  |det1_tof_modular_eleside_box_XpYp_3_5  |      492.1875*mm 773.4375*mm -2348.98945609463*mm  |-17.8623469274365*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_4  |                root  |det1_tof_modular_eleside_box_XpYp_4_4  |      632.8125*mm 632.8125*mm -2315.06983476606*mm  |-14.7711009385092*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_5  |                root  |det1_tof_modular_eleside_box_XpYp_4_5  |      632.8125*mm 773.4375*mm -2315.06983476606*mm  |-17.8623469274365*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_4  |                root  |det1_tof_modular_eleside_box_XpYp_5_4  |      773.4375*mm 632.8125*mm -2271.95828165786*mm  |-14.7711009385092*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_5  |                root  |det1_tof_modular_eleside_box_XpYp_5_5  |      773.4375*mm 773.4375*mm -2271.95828165786*mm  |-17.8623469274365*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_4  |                root  |det1_tof_modular_eleside_box_XpYp_6_4  |      914.0625*mm 632.8125*mm -2219.11913742677*mm  |-14.7711009385092*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_5  |                root  |det1_tof_modular_eleside_box_XpYp_6_5  |      914.0625*mm 773.4375*mm -2219.11913742677*mm  |-17.8623469274365*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_4  |                root  |det1_tof_modular_eleside_box_XpYp_7_4  |     1054.6875*mm 632.8125*mm -2155.83725669257*mm  |-14.7711009385092*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_5  |                root  |det1_tof_modular_eleside_box_XpYp_7_5  |     1054.6875*mm 773.4375*mm -2155.83725669257*mm  |-17.8623469274365*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_8_4  |                root  |det1_tof_modular_eleside_box_XpYp_8_4  |      1195.3125*mm 632.8125*mm -2081.1602598896*mm  |-14.7711009385092*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_8_5  |                root  |det1_tof_modular_eleside_box_XpYp_8_5  |      1195.3125*mm 773.4375*mm -2081.1602598896*mm  |-17.8623469274365*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_6  |                root  |det1_tof_modular_eleside_box_XpYp_0_6  |       70.3125*mm 914.0625*mm -2398.96981063617*mm  |-20.8498043862818*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_7  |                root  |det1_tof_modular_eleside_box_XpYp_0_7  |      70.3125*mm 1054.6875*mm -2398.96981063617*mm  |-23.7232378363355*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_6  |                root  |det1_tof_modular_eleside_box_XpYp_1_6  |      210.9375*mm 914.0625*mm -2390.71231458194*mm  |-20.8498043862818*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_7  |                root  |det1_tof_modular_eleside_box_XpYp_1_7  |     210.9375*mm 1054.6875*mm -2390.71231458194*mm  |-23.7232378363355*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
