det1_tracker_vertex_Vertex_3_8  |                root  |det1_tracker_vertex_Vertex_3_8  |    -6.12281054857321*cm -3.53498104468476*cm 5*cm  |   0*deg 0.025*rad -113.006016234283*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50308 
det1_tracker_vertex_Vertex_3_9  |                root  |det1_tracker_vertex_Vertex_3_9  |    -3.53502166317593*cm -6.12278709746443*cm 5*cm  |   0*deg 0.025*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50309 
det1_tracker_vertex_Vertex_3_10  |                root  |det1_tracker_vertex_Vertex_3_10  |-2.81413197616041e-05*cm -7.06999999994399*cm 5*cm  |   0*deg 0.025*rad -173.007735158364*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50310 
det1_tracker_vertex_Vertex_3_11  |                root  |det1_tracker_vertex_Vertex_3_11  |     3.53497292096787*cm -6.12281523876263*cm 5*cm  |   0*deg 0.025*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50311 
det1_tracker_vertex_Vertex_3_12  |                root  |det1_tracker_vertex_Vertex_3_12  |     6.12278240721034*cm -3.53502978685549*cm 5*cm  |   0*deg 0.025*rad -233.009454082445*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50312 
det1_tracker_vertex_Vertex_4_1  |                root  |det1_tracker_vertex_Vertex_4_1  |                                11.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50401 
det1_tracker_vertex_Vertex_4_2  |                root  |det1_tracker_vertex_Vertex_4_2  |      9.58690366782938*cm 5.53499576004892*cm 5*cm  |    0*deg 0.025*rad 66.9991405379596*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50402 
det1_tracker_vertex_Vertex_4_3  |                root  |det1_tracker_vertex_Vertex_4_3  |      5.53500847989891*cm 9.58689632401682*cm 5*cm  |    0*deg 0.025*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50403 
det1_tracker_vertex_Vertex_4_4  |                root  |det1_tracker_vertex_Vertex_4_4  |  1.46876195062203e-05*cm 11.0699999999903*cm 5*cm  |    0*deg 0.025*rad 6.99742161387873*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50404 
det1_tracker_vertex_Vertex_4_5  |                root  |det1_tracker_vertex_Vertex_4_5  |     -5.53498304018919*cm 9.58691101162507*cm 5*cm  |   0*deg 0.025*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50405 
det1_tracker_vertex_Vertex_4_6  |                root  |det1_tracker_vertex_Vertex_4_6  |     -9.58688898018737*cm 5.53502119973915*cm 5*cm  |   0*deg 0.025*rad -53.0042973102021*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50406 
det1_tracker_vertex_Vertex_4_7  |                root  |det1_tracker_vertex_Vertex_4_7  |  -11.069999999961*cm 2.93752390124147e-05*cm 5*cm  |   0*deg 0.025*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50407 
det1_tracker_vertex_Vertex_4_8  |                root  |det1_tracker_vertex_Vertex_4_8  |    -9.58691835540389*cm -5.53497032031971*cm 5*cm  |   0*deg 0.025*rad -113.006016234283*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50408 
det1_tracker_vertex_Vertex_4_9  |                root  |det1_tracker_vertex_Vertex_4_9  |    -5.53503391956966*cm -9.58688163634105*cm 5*cm  |   0*deg 0.025*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          3*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50409 
