det1_beamline_magnet_ele_downstream_quadrupole4_inner  |det1_beamline_magnet_ele_downstream_quadrupole4_outer  |det1_beamline_magnet_ele_downstream_quadrupole4_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5.5*cm 0.2*m 0*deg 360*deg  |              Vacuum  |det1_ele_downstream_quadrupole4_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole5_inner  |det1_beamline_magnet_ele_downstream_quadrupole5_outer  |det1_beamline_magnet_ele_downstream_quadrupole5_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 4*cm 0.325*m 0*deg 360*deg  |              Vacuum  |det1_ele_downstream_quadrupole5_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole1_front  |det1_beamline_magnet_ele_upstream_quadrupole1_inner  |det1_beamline_magnet_ele_upstream_quadrupole1_front  |                            0*m 0*m 0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 3*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21211 
det1_beamline_magnet_ele_upstream_quadrupole2_front  |det1_beamline_magnet_ele_upstream_quadrupole2_inner  |det1_beamline_magnet_ele_upstream_quadrupole2_front  |                            0*m 0*m 0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21221 
det1_beamline_magnet_ele_upstream_quadrupole3_front  |det1_beamline_magnet_ele_upstream_quadrupole3_inner  |det1_beamline_magnet_ele_upstream_quadrupole3_front  |                            0*m 0*m 0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21231 
det1_beamline_magnet_ele_downstream_quadrupole1_front  |det1_beamline_magnet_ele_downstream_quadrupole1_inner  |det1_beamline_magnet_ele_downstream_quadrupole1_front  |                            0*m 0*m 0.1999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 2.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22211 
det1_beamline_magnet_ele_downstream_quadrupole2_front  |det1_beamline_magnet_ele_downstream_quadrupole2_inner  |det1_beamline_magnet_ele_downstream_quadrupole2_front  |                            0*m 0*m 0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 3.6*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22221 
det1_beamline_magnet_ele_downstream_quadrupole3_front  |det1_beamline_magnet_ele_downstream_quadrupole3_inner  |det1_beamline_magnet_ele_downstream_quadrupole3_front  |                            0*m 0*m 0.2999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 5.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22231 
det1_beamline_magnet_ele_downstream_quadrupole4_front  |det1_beamline_magnet_ele_downstream_quadrupole4_inner  |det1_beamline_magnet_ele_downstream_quadrupole4_front  |                            0*m 0*m 0.1999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 5.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22241 
det1_beamline_magnet_ele_downstream_quadrupole5_front  |det1_beamline_magnet_ele_downstream_quadrupole5_inner  |det1_beamline_magnet_ele_downstream_quadrupole5_front  |                            0*m 0*m 0.3249999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 4*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22251 
det1_beamline_magnet_ele_upstream_quadrupole1_back  |det1_beamline_magnet_ele_upstream_quadrupole1_inner  |det1_beamline_magnet_ele_upstream_quadrupole1_back  |                           0*m 0*m -0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 3*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21212 
det1_beamline_magnet_ele_upstream_quadrupole2_back  |det1_beamline_magnet_ele_upstream_quadrupole2_inner  |det1_beamline_magnet_ele_upstream_quadrupole2_back  |                           0*m 0*m -0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21222 
det1_beamline_magnet_ele_upstream_quadrupole3_back  |det1_beamline_magnet_ele_upstream_quadrupole3_inner  |det1_beamline_magnet_ele_upstream_quadrupole3_back  |                           0*m 0*m -0.2499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 21232 
det1_beamline_magnet_ele_downstream_quadrupole1_back  |det1_beamline_magnet_ele_downstream_quadrupole1_inner  |det1_beamline_magnet_ele_downstream_quadrupole1_back  |                           0*m 0*m -0.1999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 2.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22212 
det1_beamline_magnet_ele_downstream_quadrupole2_back  |det1_beamline_magnet_ele_downstream_quadrupole2_inner  |det1_beamline_magnet_ele_downstream_quadrupole2_back  |                           0*m 0*m -0.3499999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 3.6*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22222 
det1_beamline_magnet_ele_downstream_quadrupole3_back  |det1_beamline_magnet_ele_downstream_quadrupole3_inner  |det1_beamline_magnet_ele_downstream_quadrupole3_back  |                           0*m 0*m -0.2999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 5.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22232 
det1_beamline_magnet_ele_downstream_quadrupole4_back  |det1_beamline_magnet_ele_downstream_quadrupole4_inner  |det1_beamline_magnet_ele_downstream_quadrupole4_back  |                           0*m 0*m -0.1999999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                           0*cm 5.5*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22242 
det1_beamline_magnet_ele_downstream_quadrupole5_back  |det1_beamline_magnet_ele_downstream_quadrupole5_inner  |det1_beamline_magnet_ele_downstream_quadrupole5_back  |                           0*m 0*m -0.3249999999*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 4*cm 1e-10*m 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 22252 
det1_beamline_magnet_ele_upstream_solenoid1_outer  |                root  |det1_beamline_magnet_ele_upstream_solenoid1_outer  |                                       0*m 0*m 9*m  |                       0*rad 0*rad 0*rad  | ffaa00   |                Tube  |                              0*cm 10*cm 0.6*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_solenoid1_outer  |                root  |det1_beamline_magnet_ele_downstream_solenoid1_outer  |                                   0*m 0*m -6.04*m  |                       0*rad 0*rad 0*rad  | ffaa00   |                Tube  |                              0*cm 11*cm 0.8*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
